4113205;Lapa;41.838;22.646;22.290;27.228;17.708;44.936
4113254;Laranjal;7.121;3.236;3.125;2.031;4.330;6.361
4113304;Laranjeiras do Sul;30.025;14.993;15.790;25.039;5.744;30.783
4113403;Leópolis;4.440;2.054;2.091;2.401;1.744;4.145
4113429;Lidianópolis;4.783;1.962;2.010;2.046;1.926;3.972
4113452;Lindoeste;6.224;2.793;2.570;2.384;2.979;5.363
4113502;Loanda;19.549;10.456;10.755;19.281;1.930;21.211
4113601;Lobato;4.064;2.224;2.168;4.099;293;4.392
4113700;Londrina;447.065;243.017;263.628;493.457;13.188;506.645
4113734;Luiziana;7.540;3.742;3.575;4.762;2.555;7.317
4113759;Lunardelli;5.668;2.560;2.596;3.593;1.563;5.156
4113809;Lupionópolis;4.323;2.261;2.331;4.079;513;4.592
4113908;Mallet;12.602;6.721;6.252;7.570;5.403;12.973
4114005;Mamborê;15.156;6.947;7.021;8.988;4.980;13.968
4114104;Mandaguaçu;16.828;9.855;9.929;17.570;2.214;19.784
4114203;Mandaguari;31.395;16.032;16.637;30.950;1.719;32.669
4114302;Mandirituba;17.540;11.338;10.897;7.419;14.816;22.235
4114351;Manfrinópolis;3.802;1.680;1.447;652;2.475;3.127
4114401;Mangueirinha;17.760;8.433;8.608;8.386;8.655;17.041
4114500;Manoel Ribas;13.066;6.525;6.639;6.802;6.362;13.164
4114609;Marechal Cândido Rondon;41.007;22.833;23.966;39.134;7.665;46.799
4114708;Maria Helena;6.384;2.994;2.962;3.994;1.962;5.956
4114807;Marialva;28.702;15.797;16.175;25.794;6.178;31.972
4114906;Marilândia do Sul;9.071;4.495;4.360;6.312;2.543;8.855
4115002;Marilena;6.756;3.532;3.322;4.983;1.871;6.854
4115101;Mariluz;10.296;5.113;5.111;8.467;1.757;10.224
4115200;Maringá;288.653;171.748;185.369;349.120;7.997;357.117
4115309;Mariópolis;6.017;3.116;3.153;4.469;1.800;6.269
4115358;Maripá;5.889;2.843;2.848;3.267;2.424;5.691
4115408;Marmeleiro;13.665;6.916;6.993;8.835;5.074;13.909
4115457;Marquinho;5.659;2.611;2.372;523;4.460;4.983
4115507;Marumbi;4.612;2.283;2.316;3.139;1.460;4.599
4115606;Matelândia;14.344;7.968;8.109;11.612;4.465;16.077
4115705;Matinhos;24.184;14.333;15.093;29.277;149;29.426
4115739;Mato Rico;4.496;2.032;1.790;961;2.861;3.822
4115754;Mauá da Serra;6.471;4.364;4.189;7.011;1.542;8.553
4115804;Medianeira;37.827;20.578;21.252;37.403;4.427;41.830
4115853;Mercedes;4.608;2.524;2.522;2.439;2.607;5.046
4115903;Mirador;2.500;1.181;1.146;1.579;748;2.327
4116000;Miraselva;1.961;922;936;1.430;428;1.858
4116059;Missal;10.433;5.269;5.205;5.420;5.054;10.474
4116109;Moreira Sales;13.395;6.315;6.291;9.933;2.673;12.606
4116208;Morretes;15.275;7.950;7.768;7.178;8.540;15.718
4116307;Munhoz de Melo;3.401;1.839;1.839;2.980;698;3.678
4116406;Nossa Senhora das Graças;3.833;1.953;1.881;3.183;651;3.834
4116505;Nova Aliança do Ivaí;1.338;717;716;1.043;390;1.433
4116604;Nova América da Colina;3.585;1.770;1.710;2.526;954;3.480
4116703;Nova Aurora;13.641;5.832;6.039;9.045;2.826;11.871
4116802;Nova Cantu;9.914;3.757;3.668;4.104;3.321;7.425
4116901;Nova Esperança;25.729;13.018;13.595;24.314;2.299;26.613
4116950;Nova Esperança do Sudoeste;5.258;2.662;2.448;1.753;3.357;5.110
4117008;Nova Fátima;8.305;4.037;4.116;6.615;1.538;8.153
4117057;Nova Laranjeiras;11.699;5.693;5.546;2.375;8.864;11.239
4117107;Nova Londrina;13.169;6.419;6.650;12.024;1.045;13.069
4117206;Nova Olímpia;5.280;2.694;2.812;4.688;818;5.506
4117255;Nova Prata do Iguaçu;10.397;5.221;5.148;6.066;4.303;10.369
4117214;Nova Santa Bárbara;3.611;1.896;2.015;3.282;629;3.911
4117222;Nova Santa Rosa;7.125;3.791;3.834;5.315;2.310;7.625
